,Country,Status,Overview,Key Developments,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
28,Pakistan,Research,"The State Bank of Pakistan is developing a concept to launch a digital currency by 2025, which coincides with its plan to become fully digital by 2030. However, this concept is still in its infancy and there remain many unknowns on whether the digital currency will be tied to the Pakistani rupee and how it will function.","In April 2019 the State Bank of Pakistan declared it was working on concept to issue a digital currency by 2025. The stated goals for issuing a digital currency are to promote financial inclusion, and reduce inefficiency and corruption.

In addition to issuing a digital currency to promote economic inclusion, the State Bank of Pakistan launched the National Payment Systems Strategy in November of 2019. According to the bank’s governor, Dr. Reza Baqir, “this strategy lays out a road map and action plan for Pakistan to have a modern and robust digital payments network.” While Pakistan’s economy is still cash heavy and digital payments rare, the State Bank of Pakistan claims that adopting electronic payments will stimulate consumption, which could boost Pakistan’s economy by 7%.",,,,,https://cointelegraph.com/news/pakistans-central-bank-aims-to-issue-its-own-digital-currency-by-2025,
29,Republic of Korea,Pilot,"The Bank of Korea launched a 22-month pilot program in April 2020 to research the legal and technical implications of CBDC. Although CBDC is not planned to be introduced in the near future,  the Bank of Korea intends to use findings in the case of a possible future rollout. ","In March 2020 South Korea passed the Special Financial Information Law, which strongly increases regulation of quality control in the cryptocurrency industry. Blockchain Association of South Korea’s chairperson Kim Seong-ah applauded the legislation as a big step to legitimizing the industry. ",,,,End of 2021: end of pilot program,"https://www.koreatimes.co.kr/www/biz/2020/04/367_287431.html
http://www.bok.or.kr/portal/bbs/P0000559/view.do?nttId=10057475&menuNo=200690
https://blockchain.news/news/south-korea-central-bank-launches-cbdc-pilot-program
https://www.coindeskkorea.com/news/articleView.html?idxno=70418
https://decrypt.co/21408/south-korea-gives-green-light-to-crypto-with-new-law",
30,Rwanda,Research,"Rwanda is researching a blockchain-based CBDC and looking to learn from the experiences of other central banks' testing initiatives, including Canada, Singapore, and the Netherlands. ","The National Bank of Rwanda revealed in 2019 that it is exploring ways to issue a CBDC. Noting outstanding questions around the technology, the National Bank's Financial Stability Director-General Peace Masozera Uwase said, ""We will join in once we are ready.""",,,,,https://www.bnnbloomberg.ca/rwandan-central-bank-studying-ways-of-issuing-digital-currency-1.1305321,
31,Russia,Research,"After initially investigating digital currencies, particularly for use in international settlements, the Bank of Russia has since stated that the need for a CBDC “is not obvious for us.”","In May 2019, the Bank of Russia was reviewing a proposal to develop a gold-backed cryptocurrency for mutual settlements, but maintained the primacy of conducting settlements in national currencies, adding further that it was against the use of cryptocurrency in Russia’s monetary system. 

However, later in June of 2019, Bank of Russia Chairwoman Elvira Nabiullina said the bank “could one day launch its own digital currency.” Nevertheless, she cautiously warned that citizens may not be ready to forsake physical cash and stressed that researchers focus on comparing a digital currency to other electronic payment methods. 

While the Bank of Russia spent the first half of 2019 researching digital currencies, it stated in October of 2019 that the launching of a national cryptocurrency would not override the potential risks. In Chairwoman Nabiullina’s estimation, a national digital currency provided no clear advantage to already existing electronic cash alternatives. 

Despite the Bank of Russia’s dismissal of issuing a national digital currency, it has continued researching the potential use of blockchain technology. It announced in February of 2020 that it had successfully piloted a platform allowing for the tokenization of assets.",,,"Russia Central Bank Chief ""No obvious need"" for CBDC",,,
32,Senegal,Cancelled,"While a regional bank issued a digital version of the CFA franc, the Central Bank of the West African States disassociated from the initiative. ","Banque Régionale de Marchés (BRM), a West African regional bank, announced the issuance a ""national digital currency"" in Senegal in late 2016, creating the eCFA. eCFA was created with technology provided by eCurrency Mint Limited, an Ireland-based startup. The only relationship that eCFA has with the central bank appears to be that the eCFA is in compliance with e-money regulations of Banque Centrale des Etats de l’Afrique de l’Ouest (BCEAO), the Central Bank of the West African Economic and Monetary Union (WAEMU). 

WAEMU backed away from its association with eCFA, however, in a statement in April 2017, warning BRM against the use of the term eCFA “to prevent any kind of confusion with the legal currency” in the region.",,,"d'Akuwa Azoma, the Director of Systems and Means of Payment at the BCEAO disassociated the central bank from eCFA, ""There is no attachment of the e-CFA to the UEMOA zone. Nor is an electronic version of the CFA franc provided by the BCEAO. The issuance of the CFA franc is the sole responsibility of the Central Bank.""",,https://www.agenceecofin.com/commerce/0704-46420-la-bceao-desapprouve-la-creation-de-la-monnaie-electronique-de-la-brm,
33,Singapore,Pilot,"The Monetary Authority of Singapore (MAS) has been a leader in testing CBDCs through its Project Ubin. In 2019, Singapore and Canada conducted the first successful international transaction of CBDCs.","In November 2016, MAS announced that it was partnering with R3, a blockchain startup, on Project Ubin, an initiative to explore the use of blockchain and distributed ledger technology (DLT) for clearing and settlement of payments and securities.

In May 2019, MAS collaborated with the Bank of Canada's Jasper project to successfully exchange digital currencies across their respective networks. The Jasper-Ubin project was carried out in partnership with Accenture, who supported the development of the Canadian network on Corda, and JP Morgan, who supported the Singapore network on Quorum. 

The current phase of Project Ubin seeks to determine the commercial viability and value of the blockchain-based payments network, and is undergoing industry testing with more than 40 financial and non-financial firms.","R3 Corda, Hyperledger Fabric, Quorum, Bank of America Merrill Lynch, Credit Suisse, DBS Bank, The Hongkong and Shanghai Banking Corporation Limited, J.P. Morgan, Mitsubishi UFJ Financial Group, OCBC Bank, Singapore Exchange, United Overseas Bank, BCS Information Systems",DLT (R3 Corda),The Chief Fintech Officer of the MAS has said: “Billions of the future of the financial sector relies on this whole shift from a physical to a digital world.”,11.16.2016,"https://www.mas.gov.sg/-/media/MAS/ProjectUbin/Project-Ubin--SGD-on-Distributed-Ledger.pdf

 https://www.mas.gov.sg/schemes-and-initiatives/Project-Ubin",
34,South Africa,Research,"The South Africa Reserve Bank (SARB) is conducting a feasibility project to weigh the possibility of CBDC. The Bank is also working as part of the Intergovernmental Fintech Working Group (IFWG), established in late 2016, to investigate fintech innovation with financial stability and consumer protection. ","In March 2019, before the feasibility project was announced, SARB invited bids from private companies to develop CBDC infrastructure. According to the BIS Quarterly Review, “the scope of this project is specific to the use of a CBDC as electronic legal tender (ELT), similar to the characteristics of, and complementary to, cash.” 

In planning its potential CBDC, South Africa will likely weigh security heavily, according to South Africa’s Ombudsman for Banking Services, Reana Steyn, who says “internet banking fraud continues to be the most prevalent complaint made by South African banking customers.”
",,,,,"https://www.resbank.co.za/AboutUs/Departments/FinancialServices/ProcNew/Pages/Publications.aspx?sarbweb=9f333ff2-bf64-4708-a361-076bd6802ff4&sarblist=fdf9dae8-3990-44d4-b89a-c87649f22461&sarbitem=40
https://www.centralbanking.com/fintech/cbdc/4220501/sarb-announces-cbdc-feasibility-project
https://www.ifwg.co.za/about-us/
https://www.theglobaltreasurer.com/SARB-wants-to-test-CBDC-based-on-native-currency
https://www.bis.org/publ/qtrpdf/r_qt2003.pdf 
https://www.globalgovernmentforum.com/south-africa-scouts-state-backed-digital-currency/",
35,Sweden,Pilot,"Sweden is one of the lowest cash-usage countries in the world, which has allowed the country to more easily develop the e-Krona. The Swedish Riksbank is running a digital currency pilot from February 2020 to February 2021.","Sweden aims to implement a retail digital currency, which would replace Swish, a digital payment app developed by 6 Swedish banks. After 3 year of research, the Riksbank contracted with Accenture in December 2019 to test e-wallets, distributed ledger technology, and interoperability with banks. 

The Riksbank has proposed that the Riksdag (Swedish Parliament) review the concept of legal tender to get the central bank more control over money. In April 2019, the Riksbank announced: “Cash use has decreased rapidly in Sweden and a scenario within the not-too-distant future, in which cash is not generally accepted, cannot be ruled out... The Riksbank has previously expressed concern over this development and has therefore analysed the scope for introducing a Central Bank Digital Currency (CBDC), an “e-krona”, to which the general public has access.”

Sweden has provided the most technological clarity into its project. The underlying technology is built on R3’s Corda system; the Riksbank is further developing a RIX exchange so that banks can plug into its API; and the 24/7/365 e-wallet is being designed to work with smart-watches, apps, and credit cards. ",Accenture,DLT (R3 Corda),"In April 2019, the Riksbank announced: “Cash use has decreased rapidly in Sweden and a scenario within the not-too-distant future, in which cash is not generally accepted, cannot be ruled out... The Riksbank has previously expressed concern over this development and has therefore analysed the scope for introducing a Central Bank Digital Currency (CBDC), an “e-krona”, to which the general public has access.”","After 3 year of research, the Riksbank contracted with Accenture in December 2019 to test e-wallets, distributed ledger technology, and interoperability with banks. The Swedish Riksbank is running a digital currency pilot from February 2020 to February 2021. ",,
36,Switzerland,Research,"After examining the potential of creating a CBDC, the Swiss government concluded that it would bring too many risks of financial stability, though the digital franc could have a future role in financial institution use.","In December 2019, the Federal Council published a report on the benefits and risks of a central bank digital currency. In their findings the Federal Council concluded a “universally accessible central bank digital currency would bring no additional benefits for Switzerland at present.”  Rather, they believe that the issuance of a digital currency would introduce new risks that could jeopardize financial stability. The report was a response to the Wermuth postulate (18.3159), which was that was submitted in March 2018.",,,The Swiss Bank assesses potential CBDC “additional benefits currently low and outweighed by risks”,,"https://www.coindesk.com/new-risks-swiss-government-skeptical-on-central-bank-digital-currency
https://www.bis.org/publ/qtrpdf/r_qt2003.pdf",
37,Thailand,Pilot,"The Bank of Thailand started multi-phase testing of a prototype decentralized CBDC for domestic interbank transfers in 2018 and cross-border transfers, in collaboration with the Hong Kong Monetary Authority, in 2019. ","The Bank of Thailand (BoT) launched the first phase of its plans to experiment with a wholesale CBDC in August 2018 in which it will partner with eight commercial banks and R3, the company behind the Corda blockchain platform. The initiative, titled Project Inthanon, aims to provide a proof-of-concept for distributed ledger technology-based CBDC for domestic interbank and cross-border transfers.

The Bank of Thailand and the Hong Kong Monetary Authority (HKMA) announced the joint Inthanon-LionRock project in May 2019 to collaborate on research and share experiences from their respective CBDC studies. The joint CBDC research project is one of the financial innovation collaborations under the Memorandum of Understanding between the two regulatory authorities. 

BoT published a joint report with the HKMA in December 2019, concluding that the CBDC has significant potential to prevent risks and reduce costs from traditional banking intermediaries.","HKMA, R3",DLT (R3 Corda),https://www.bot.or.th/English/FinancialMarkets/ProjectInthanon/Documents/Inthanon-LionRock.pdf,,,
38,Tunisia,Research,"Tunisia's blockchain-based e-dinar, issued by the government's post office, has been in circulation since 2015, without central bank involvement. The Central Bank of Tunisia is exploring digital finance innovations, including a CBDC","Tunisia's post office partnered with Monetas and DigitUs to offer a blockchain-based digital version of the Tunisian dinar (the e-dinar) in 2015. However, the Central Bank of Tunisia was not involved.

Online reports surfaced in early November 2019 that Tunisia was starting to develop a CBDC on a blockchain platform in partnership with Russian startup Universa. The Central Bank of Tunisia (Banque Centrale de Tunisie or BCT) denied these reports and clarified that the BCT is researching digital finance innovations, including digital currencies, but it does not have plans to develop a CBDC.",Universa (but turned out to be false reporting),,,,https://www.imf.org/~/media/Files/Publications/SDN/2018/SDN1808.ashx,
39,Turkey,Research,"President Erdogan announced in his 2020 Annual Presidential Program that testing of the digital lira will be conducted and finalized by the end of 2020, as part of Turkey's 2019-2023 economic roadmap. The government is also working with the national tech innovation agency TUBITAK to develop software to support instant payments of the digital lira. ",The Turkish Ministry of Industry and Technology announced plans to “set up a national blockchain infrastructure to deploy ledger technology in public administration.” The Strategy 2023 Presentation also plans to work with Turkish regulators to create a regulatory sandbox for blockchain applications.  ,Scientific and Technological Research Council of Turkey (TUBITAK),Blockchain,"Turkish officials have raised the idea of CBDC for years, including the Nationalist Movement Party deputy chair and former Industry Minister Ahmet Kenan Tanrikulu’s report proposing the state controlled release of a “national bitcoin” 

Barış Özistek, the chairman of venture capital fund Boğaziçi Ventures and games publication company Netmarble EMEA, said ""There are more than 30 million active gamers in Turkey. Gaming is a sphere in which virtual equipment and digital currency is used for the first time, and used most commonly… Turkish users adopted to cryptocurrencies very fast and easily.”

Şant Manukyan, the director of international markets at İş Yatırım, said, “Bitcoin is highlighted in [other] countries as a protection from devaluation and as a way to carry the money abroad. In Turkey, it provides an alternative to investors who use dollar but look for profit; but it's not as common as other countries for sure.”
",End of 2020: finalized testing of digital lira ,"https://cointelegraph.com/news/turkey-puts-central-bank-digital-currency-on-new-economic-roadmap
https://cointelegraph.com/news/turkey-announces-plans-for-a-national-blockchain-infrastructure
https://www.resmigazete.gov.tr/eskiler/2019/11/20191104M1-1.pdf
https://www.al-monitor.com/pulse/originals/2018/02/turkey-mulls-national-bitcoin.html
https://cointelegraph.com/news/turkeys-unexpected-rise-to-the-top-of-global-crypto-adopters",
40,Ukraine,Pilot,"The National Bank of Ukraine successfully completed a two-month pilot of a national digital currency, the e-hryvnia, which started in December 2018. However, when presenting its finding in February 2020, the bank indicated it was unsure what the impacts of a digital currency would be.","The National Bank of Ukraine has been exploring the possibility of issuing a national digital currency since 2016. In 2018, interest ramped up significantly when it announced it was considering launching a digital currency based on blockchain. This culminated in a successful two-month pilot of the e-hryvnia, between December  2018 and February 2019.

However, at a press conference in February 2020, the bank released the results of the pilot showing it was unsure about the potential impacts of the digital currency on financial stability. Furthermore, the bank’s governor Jacob Smol tweeted that the matter of the e-hryvnia would only be reopened “when the technological feasibility of the project can be fully verified.”",,DLT,,,,
41,United Kingdom,Research,"The Bank of England recently stated that it has not yet made a decision on whether to introduce CBDC, and intends to engage widely with stakeholders on the benefits, risks and practicalities of doing so.","The Bank of England started researching CBDCs in 2017 and published a list of key questions around the economic impact, implications for the financial system, monetary and financial stability, scalability, security, and interoperability for blockchain-based systems. 

The BoE announced that its plans to run a DLT-based Real-Time Gross Settlement (RTGS) service Proof of Concept in March 2018 with Baton, Clearmatics, R3 and Token to understand if the BoE's Blueprint for a renewed RTGS service could operate on emerging payment technologies. The outcomes of the work published in a July 2018 report noted that ""All participants confirmed that the functionality offered by the renewed RTGS service would enable their systems to connect and to achieve settlement in central bank money."" 

The BoE published a discussion paper in March 2020 in which it explores the opportunities, challenges, and design choices of a CBDC. Former BoE Governor Mark Carney said, “a CBDC could provide households and businesses with a new form of central bank money and a new way to make payments” whilst it would raise “significant challenges for maintaining monetary and financial stability”. The paper described a platform-based approach in which the Bank would be the only entity to create or destroy a token and process payments, while payment interface providers would support interactions with end-users and provide additional payment services.",,,"ormer BoE Governor Mark Carney said, “a CBDC could provide households and businesses with a new form of central bank money and a new way to make payments” whilst it would raise “significant challenges for maintaining monetary and financial stability”.",,https://www.bankofengland.co.uk/research/digital-currencies,
42,UAE,Development,"Saudi Arabia and the United Arab Emirates are jointly developing a shared CBDC called Aber for remittances and domestic transactions. Also, the government of the city of Dubai has revealed their own blockchain-based cryptocurrency emCash in 2017, but no news has been released since.","In Jan 2019, the Saudi Arabian Monetary Authority (SAMA) and the United Arab Emirates Central Bank (UAECB) announced a common digital currency project, "" Aber"", for financial settlements between Saudi Arabia and the United Arab Emirates. The purpose of the project is to improve the efficiency of international remittances and develop an additional system for domestic payments settlement in case of disruption. Neither country has yet revealed a timeline for the CBDC, nor have they stated specifics on the underlying blockchain structure or whether it will be pegged to fiat currencies.

In September 2017, the government of Dubai announced an encrypted digital currency, emCash, that will be used to pay for public and private services. emCash will be developed by Emcredit, a state-backed subsidiary of the Department of Economic Development in collaboration with the U.K.-based startup Object Tech Grp Ltd. However, the project is in early stages and no additional information has been released.","Object Tech Grp Ltd, Pundi X",DLT,"Ali Ibrahim, Deputy Director General of Dubai Economy, the token will be considered legal tender “for various government and non-government services, from their daily coffee and children’s school fee to utility charges and money transfers.”",Sep 2017,https://businessblockchainhq.com/business-blockchain-news/dubai-cryptocurrency-emcash-to-become-official-digital-currency/ http://www.dubaided.ae/English/MediaCenter/Pages/PressReleasesDetails.aspx?ItemId=233,
43,USA,Research,"The United States has lagged most G10 economies in exploring a digital currency. The Federal Reserve is in the very early stages of research, while interest within Congress to establish a digital dollar is growing.","The Fed has thus far been cautious and slow. In a testimony to Congress in February 2020, Fed Chair Jerome Powell said, “[I]t may be many more years before the Fed reveals any details of its research and development on a digital dollar to date, as we hope there would be many rounds of public consultation before any kind of official announcement or rollout.”

However, progress by Facebook, China, and other G10 economies may intensify the Fed’s efforts to take a greater role in shaping the global payments system. Fed Governor Lael Brainard has noted that, “Given the dollar's important role, it is essential that we remain on the frontier of research and policy development regarding CBDC...We are collaborating with other central banks as we advance our understanding of central bank digital currencies.” 

Congressional interest in establishing a digital dollar has also grown amid COVID-19. Notably, Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Given technological challenges and subsequent delays in delivering stimulus payments to millions of American households and taxpayers, lawmakers are exploring the digital dollar as a means to promote financial inclusion and a more efficient payments system. In May 2020, Federal Reserve Bank of Philadelphia's research department has published a new working paper addressed on CBDC, which explored the transformative implications for the make-up of the financial insititutions.
",,,"Jerome Powell: [I]t may be many more years before the Fed reveals any details of its research and development on a digital dollar to date, as we hope there would be many rounds of public consultation before any kind of official announcement or rollout.” Fed Governor Lael Brainard: “Given the dollar's important role, it is essential that we remain on the frontier of research and policy development regarding CBDC...We are collaborating with other central banks as we advance our understanding of central bank digital currencies.” 
",,,"Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Senators Rashida Tlaib (D-Mich.) and Pramila Jayapal (D-Wash.) introduce the ABC-Act on April 16 which calls for the creation of “FedAccounts” and “e-Wallets” to help administer funds directly to people via the Fed. Congressmen Foster and Hill wrote a letter to Chairman Powell on September 30, 2019 asking him to consider what it would look like to implement a CBDC and what some of the design considerations would be

"
44,Uruguay,Pilot,"The Central Bank of Uruguay successfully completed a digital currency pilot program in April 2018 to issue, circulate, and test payments in an e-Peso. Results are being evaluated by the central bank, ahead of additional trials and potential broader issuance. ","Uruguay’s e-Peso pilot was part of a broader government initiative to promote financial inclusion. The pilot ran for 6 months beginning November 2017, issuing 20 million e-Pesos to 10,000 users. Individuals and businesses could hold 30,000 and 200,000 e-Pesos, respectively, in digital wallets. Transfer took place via mobile phones using text messages or an e-Peso app.

The pilot was considered a success and closed in April 2018 to evaluate results and inform additional design decisions. In particular, officials are evaluating how to manage the stock of digital banknotes in different denominations as well as how to manage the level of anonymity. 

6 institutions were involved in the pilot, both from the public and private sectors. These included (1) The Central Bank of Uruguay; (2) Antel (provide telecom network); (3) RGC (provides solutions for money tech support); (4) IBM (data storage and management control of circulation); (5) InSwitch (management of users); and (6) Redpagos (cash-in, cash-out). ","(1) The Central Bank of Uruguay; (2) Antel (provide telecom network); (3) RGC (provides solutions for money tech support); (4) IBM (data storage and management control of circulation); (5) InSwitch (management of users); and (6) Redpagos (cash-in, cash-out). Source",Digital wallet (Global e-Note Manager),,"The pilot ran for 6 months beginning November 2017, issuing 20 million e-Pesos to 10,000 users. The Central Bank of Uruguay successfully completed a digital currency pilot program in April 2018 to issue, circulate, and test payments in an e-Peso. ",https://www.bis.org/events/eopix_1810/licandro_pres.pdf,
45,Venezuela,Development,"As Venezuela struggles with intense hyper-inflation, the government is attempting to create a national digital currency backed by oil reserves, dubbed the ""Petro"", that will facilitate stable payments and bypass global sanctions. However, experts have identified various design and technology flaws with the Petro, which is considered a failed currency absent further development.","The primary impetus for Venezuela’s digital currency is to avoid sanctions and ease economic tension.  President Maduro has claimed that the Petro has raised over $3.3 billion since its launch in February 2018. However, the use of the Petro has been lackluster and has not stemmed Venezuela’s economic decline. 

On the international level, President Trump signed an executive order in 2018 banning Americans from purchasing Petro. Maduro responded by saying, ““Donald Trump and his sanctions are blocking Venezuela from carrying out transactions in any of the world’s banks… There’s other formulas to pay, and it’s what we’re using, because our payment system works perfectly in China and Russia.”

Venezuela has engaged in several public-private partnerships to develop the Petro. The Bank of Venezuela has been performing internal tests to make sure it can hold cryptos in its reserves, at the request of state-run Petroleos de Venezuela SA. On the private sector side, some Venezuelan banks have started denominating bank balances in Petro. ","The Bank of Venezuela has been performing internal tests to make sure it can hold cryptos in its reserves, at the request of state-run Petroleos de Venezuela SA. On the private sector side, some Venezuelan banks have started denominating bank balances in Petro. ",,"Maduro responded by saying, ““Donald Trump and his sanctions are blocking Venezuela from carrying out transactions in any of the world’s banks… There’s other formulas to pay, and it’s what we’re using, because our payment system works perfectly in China and Russia.”",President Maduro has claimed that the Petro has raised over $3.3 billion since its launch in February 2018.,,"Congressional interest in establishing a digital dollar has also grown amid COVID-19. Notably, Senator Sherrod Brown (D-Ohio) introduced the Banking for All Act in March 2020 that would create a retail “digital wallet” for all Americans. Given technological challenges and subsequent delays in delivering stimulus payments to millions of American households and taxpayers, lawmakers are exploring the digital dollar as a means to promote financial inclusion and a more efficient payments system. Senators Rashida Tlaib (D-Mich.) and Pramila Jayapal (D-Wash.) introduce the ABC-Act on April 16 which calls for the creation of “FedAccounts” and “e-Wallets” to help administer funds directly to people via the Fed.
Congressmen Foster and Hill wrote a letter to Chairman Powell on September 30, 2019 asking him to consider what it would look like to implement a CBDC and what some of the design considerations would be.
Senator Nancy Pelosi had penned a bill in March 2020 (“Take Responsibility Act”) that originally included the recommendation to create a digital dollar, but the final bill had this removed."
