,Owner,"Country, region",Country Code,Status,Overview,Key Developments,User,Partnerships,Underlying Technology,Notable pubs/statements,Key dates,Sources,Legislation
25,,Dominica,,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
26,,Grenada,GRD,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
27,Amanda,"Hong Kong, SAR",HKG,Pilot,"In January of 2020, the Hong Kong Monetary Authority (HKMA) jointly published with the Bank of Thailand a study on the application of central bank digital currencies for cross-border payments. The HKMA and Bank of Thailand developed a cross-border corridor network allowing participating banks to conduct peer-to-peer foreign exchange transactions. This was titled Project Inthanon-LionRock and was deemed a success. HKMA and BoT signed a contract with ConsenSys to conduct cross border transactions in September of 2020, and are now working on a proof of concept. The project was retitled the Multiple CBDC Bridge (or 'mBridge') in February 2021 when it was joined by Central Bank of the United Arab Emirates and the Digital Currency Institute of the People’s Bank of China (PBoC), supported by the Bank for International Settlements (BIS). The BIS reported that the first pilot phase of the expanded mCBDC project was a success, demonstrating that cross-border settlement using CBDCs has benefits over the traditional cash correspondent banking model in terms of speed, availability, and cost. Future phases of the pilot scheme will further explore privacy, liquidity, scalability and regulatory compliance, while extending participation in trials to commercial banks and other market participants. HKMA’s CEO also announced in December 2020 that HKMA is discussing a cross-border pilot program for the digital yuan in collaboration with China. In October 2021, the HKMA published a white paper and Request for Comments discussing the potential applications for a possible 'e-HKD' for retail purposes and seeking industry views. The paper discusses various technical design considerations and policy matters such as privacy, compliance (including privacy-preserving traceability of transactions), interoperability, scalability, cybersecurity, and resilience. ","The Hong Kong Monetary Authority (HKMA) has been actively engaging in public-private partnerships to research the potential applications of a digital currency. As early as April 2017, the HKMA had been working with banks, distributed ledger startup R3, and Hong Kong Interbank Clearing Limited to research the feasibility of digital currencies as a payment system. This would later be coined Project LionRock, and concluded that digital currencies have significant potential for financial institutions making interbank payments and cross-border payments.

Project LionRock developed into a joint project with the Bank of Thailand, Project Inthanon-LionRock, when both parties signed a memorandum of understanding in May of 2019 to study the application of cross-border payments. The study developed a cross-border network corridor, which allowed for Thai and Hong Kong banks to conduct foreign exchange transactions on a peer-to-peer basis. The findings were published on January 22nd, 2020 and concluded that the project achieved its intended objectives, with Hong Kong hoping to expand the project to more central banks. In September 2020, ConsenSys won the contract for the cross-border payment system between Hong Kong and Thailand. The project is now in its second stage, intended to explore “specific business applications as well as the operability and scalability of the platform to allow the participation of three or more CBDCs.” 

In November 2019, the HKMA also signed a memorandum of understanding with the Institute of Digital Currency, a subsidiary of the People’s Bank of China. The aim of this project was to create a proof of concept in the first quarter of 2020 linking their two trade finance platforms. 

In December 2020, Eddie Yue, Chief Executive of the Hong Kong Monetary Authority, announced that HKMA is discussing a technical pilot of the e-CNY or digital yuan with the People’s Bank of China (PBOC) for making cross-border payments, and are “making the corresponding technical preparations.”
",Wholesale,"BoT, R3, ConsenSys",DLT (R3 Corda),,,"https://www.hkma.gov.hk/media/eng/doc/key-functions/financial-infrastructure/Report_on_Project_Inthanon-LionRock.pdf, https://www.hkma.gov.hk/eng/news-and-media/insight/2020/12/20201204/, https://cointelegraph.com/news/consensys-wins-contract-for-thailand-hong-kong-cbdc-project",
28,Ole/Amanda,Republic of Korea,DRK,Pilot,"The Bank of Korea launched a 22-month pilot program in April 2020 to research the legal and technical implications of CBDC. Although they originally claimed they have no plans to launch a CBDC in the near future, the central bank has accelerated their research to keep pace with other countries’ progress. They are currently looking for outside partners to help develop the techniology, and plan to run a successful pilot by the end of 2021. 
","The Bank of Korea launched a 22-month pilot program in April 2020 to research the legal and technical implications of CBDC. Although they originally claimed they have no plans to launch a CBDC in the near future, the central bank has accelerated their research to keep pace with other countries’ progress.

The first phase of three concluded in July 2020 and involved designing and reviewing the technology. That same month, the Bank of Korea publicly announced they were looking for private partnerships to serve a consultatory role in the formation of their CBDC as they move into phase 2. The company they select will help build the architecture of the digital won. 

The BOK has confirmed talks with domestic public blockchain Klaytn, but stated, “It has not been decided which platform to use, and it will be selected when building a demonstration project next year [2021] after private consulting proceeds.” In phase 3 the BOK will distribute the digital currency and oversee its circulation process; the entire program should conclude by December of this year. 

The Bank of Korea has continued to reiterate throughout the process that this pilot program does not necessarily guarantee they will launch a digital won. Instead, they intend to be prepared for a reality in which other countries’ CBDCs make it necessary for the BOK to proceed. ",Retail,,,,End of 2021: end of pilot program,"https://www.koreatimes.co.kr/www/biz/2020/04/367_287431.html
http://www.bok.or.kr/portal/bbs/P0000559/view.do?nttId=10057475&menuNo=200690
https://blockchain.news/news/south-korea-central-bank-launches-cbdc-pilot-program
https://www.coindeskkorea.com/news/articleView.html?idxno=70418
https://decrypt.co/21408/south-korea-gives-green-light-to-crypto-with-new-law https://www.koreatimes.co.kr/www/biz/2020/08/126_295181.html                                                                                        
https://www.coindesk.com/bank-of-korea-central-bank-digital-currency-legal-research
https://news.bitcoin.com/major-south-korean-bank-shinhan-is-set-to-offer-crypto-custody-related-services/
https://www.coindesk.com/south-korea-central-bank-test-digital-currency-banks-2021
http://m.koreaherald.com/view.php?ud=20201007000809
https://www.ledgerinsights.com/bank-of-korea-cbdc-central-bank-digital-currency-klaytn-public-blockchain/
",
29,,Saint Lucia,LCA,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
30,,Saint Vincent and the Grenadines,VCT,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
31,Victor,Singapore,SGP,Pilot,"The Monetary Authority of Singapore (MAS) has been a leader in testing CBDCs through its Project Ubin. In 2019, Singapore and Canada conducted the first successful international transaction of CBDCs.","In November 2016, MAS announced that it was partnering with R3, a blockchain startup, on Project Ubin, an initiative to explore the use of blockchain and distributed ledger technology (DLT) for clearing and settlement of payments and securities.

In May 2019, MAS collaborated with the Bank of Canada's Jasper project to successfully exchange digital currencies across their respective networks. The Jasper-Ubin project was carried out in partnership with Accenture, who supported the development of the Canadian network on Corda, and JP Morgan, who supported the Singapore network on Quorum. 

The current phase of Project Ubin seeks to determine the commercial viability and value of the blockchain-based payments network, and is undergoing industry testing with more than 40 financial and non-financial firms.","Wholesale, Retail","R3 Corda, Hyperledger Fabric, Quorum, Bank of America Merrill Lynch, Credit Suisse, DBS Bank, The Hongkong and Shanghai Banking Corporation Limited, J.P. Morgan, Mitsubishi UFJ Financial Group, OCBC Bank, Singapore Exchange, United Overseas Bank, BCS Information Systems",DLT (R3 Corda),The Chief Fintech Officer of the MAS has said: “Billions of the future of the financial sector relies on this whole shift from a physical to a digital world.”,11.16.2016,"https://www.mas.gov.sg/-/media/MAS/ProjectUbin/Project-Ubin--SGD-on-Distributed-Ledger.pdf
 https://www.mas.gov.sg/schemes-and-initiatives/Project-Ubin
https://www.ledgerinsights.com/singapore-canadian-central-bank-blockchain-cross-border-payments-cbdc/",
32,,St Kitts and Nevis,KNA,Pilot,"The Eastern Caribbean Central Bank (ECCB) launched its digital EC dollar (DXCD) pilot in March 2019 with the purpose of assessing “potential efficiency and welfare gains,” including deeper financial inclusion and economic growth. The DXCD will be issued by the ECCB and distributed by licensed bank and non-bank financial institutions for financial transactions via smart devices.","The Eastern Caribbean Central Bank signed a contract with the Barbados-based fintech company Bitt Inc. to conduct a blockchain-issued CBDC pilot in February 2019. The pilot is being executed in two phases: first, development and testing for about twelve months, followed by rollout and implementation via live deployment in a controlled environment for 6 months in the selected pilot countries of Antigua and Barbuda, Grenada, Saint Lucia and St. Kitts and Nevis, which commenced mid-March 2020. As part of pilot implementation, the ECCB will ramp up its sensitization and education initiatives to facilitate active public engagement throughout all member countries.",Retail,Bitt Inc. ,Blockchain,"Timothy N.J. Antoine, the Governor of the ECCB, said that the pilot “is not an academic exercise. Not only will the digital EC Dollar be the world’s first digital legal tender currency to be issued by a central bank on blockchain but this pilot is also a live CBDC deployment with a view to an eventual phased public rollout. The pilot is part of the ECCB’s Strategic Plan 2017-2021 which aims to help reduce cash usage within the ECCU by 50 per cent, promote greater financial sector stability, and expedite the growth and development of our member countries. It would be a game-changer for the way we do business.”",,"https://www.eccb-centralbank.org/p/what-you-should-know-1
https://www.eccb-centralbank.org/p/about-the-project
https://www.eccb-centralbank.org/news/view/eccb-to-issue-worldas-first-blockchain-based-digital-currency",
33,Jeremy,Sweden,SWE,Pilot,"Sweden is one of the lowest cash-usage countries in the world, which has allowed the country to more easily develop the e-Krona. The Swedish Riksbank is running a digital currency pilot from February 2020 to February 2021.","Sweden aims to implement a retail digital currency, which would replace Swish, a digital payment app developed by 6 Swedish banks. After 3 year of research, the Riksbank contracted with Accenture in December 2019 to test e-wallets, distributed ledger technology, and interoperability with banks. 

The Riksbank has proposed that the Riksdag (Swedish Parliament) review the concept of legal tender to get the central bank more control over money. In April 2019, the Riksbank announced: “Cash use has decreased rapidly in Sweden and a scenario within the not-too-distant future, in which cash is not generally accepted, cannot be ruled out... The Riksbank has previously expressed concern over this development and has therefore analysed the scope for introducing a Central Bank Digital Currency (CBDC), an “e-krona”, to which the general public has access.”

Following the initial pilot, in December 2020, the Riksbank launched a review into the feasibility of having Sweden move to a digital currency. The review is expected to be completed by the end of November in 2022.

Sweden has provided the most technological clarity into its project. The underlying technology is built on R3’s Corda system; the Riksbank is further developing a RIX exchange so that banks can plug into its API; and the 24/7/365 e-wallet is being designed to work with smart-watches, apps, and credit cards. ",Retail,Accenture,DLT (R3 Corda),"In April 2019, the Riksbank announced: “Cash use has decreased rapidly in Sweden and a scenario within the not-too-distant future, in which cash is not generally accepted, cannot be ruled out... The Riksbank has previously expressed concern over this development and has therefore analysed the scope for introducing a Central Bank Digital Currency (CBDC), an “e-krona”, to which the general public has access.”","After 3 year of research, the Riksbank contracted with Accenture in December 2019 to test e-wallets, distributed ledger technology, and interoperability with banks. The Swedish Riksbank is running a digital currency pilot from February 2020 to February 2021. ",https://www.irishtimes.com/business/economy/sweden-to-explore-possibility-of-moving-to-digital-currency-1.4434040,
34,Eve,Thailand,THA,Pilot,"The Bank of Thailand started multi-phase testing of a prototype decentralized CBDC for domestic interbank transfers in 2018 and cross-border transfers, in collaboration with the Hong Kong Monetary Authority, in 2019. ","The Bank of Thailand (BoT) launched the first phase of its plans to experiment with a wholesale CBDC in August 2018 in which it will partner with eight commercial banks and R3, the company behind the Corda blockchain platform. The initiative, titled Project Inthanon, aims to provide a proof-of-concept for distributed ledger technology-based CBDC for domestic interbank and cross-border transfers.

The Bank of Thailand and the Hong Kong Monetary Authority (HKMA) announced the joint Inthanon-LionRock project in May 2019 to collaborate on research and share experiences from their respective CBDC studies. The joint CBDC research project is one of the financial innovation collaborations under the Memorandum of Understanding between the two regulatory authorities. 

BoT published a joint report with the HKMA in December 2019, concluding that the CBDC has significant potential to prevent risks and reduce costs from traditional banking intermediaries.

In June 2020, the Bank of Thailand announced a new project to develop a pilot for businesses to use CBDC, which will build upon knowledge from Project Inthanon. ",Retail,"HKMA, R3",DLT (R3 Corda),https://www.bot.or.th/English/FinancialMarkets/ProjectInthanon/Documents/Inthanon-LionRock.pdf,,https://www.bot.or.th/English/PressandSpeeches/Press/2020/Pages/n3063.aspx,
35,Eve,The Bahamas,BHS,Pilot,"In December 2019, the Central Bank of the Bahamas launched the Sand Dollar project on the island of Exuma. After the successful pilot in Exuma, the digital currency fully launched across the country in October 2020. The sand dollar is the first ever nationwide Central Bank Digital Currency in the world.","The Central Bank of the Bahamas announced the launch of its CBDC pilot in December 2019, starting in Exuma and extending to Abaco in the first half of 2020. The initiative is named Project Sand Dollar. The motivations for the CBDC pilot include improving financial inclusion and strengthening security against money laundering or illicit economic activities.

In the statement announcing Project Sand Dollar, the Central Bank of the Bahamas noted that it will ""simultaneously promote the development of new regulations for the digital currency, and strengthen consumer protection, especially around data protection standards"" as the pilot in Exuma progresses.

The Central Bank is planning to roll out the CBDC across all islands in the second half of 2020.",Retail,,,https://www.centralbankbahamas.com/news.php?id=16660&cmd=view,,"https://www.centralbankbahamas.com/news.php?id=16660&cmd=view
https://cointelegraph.com/news/bahamas-digital-dollar-to-roll-out-across-all-islands-in-h2-2020-governor-says",
36,Josh/Amanda,Ukraine,UKR,Pilot,"The National Bank of Ukraine successfully completed a two-month pilot of a national digital currency, the e-hryvnia, which started in December 2018. In January 2021, the bank signed a deal with Stellar Development Foundation in order to develop a CBDC, among other tasks related to virtual assets. Their works begins in August 2021.","The National Bank of Ukraine has been exploring the possibility of issuing a national digital currency since 2016. In 2018, interest ramped up significantly when it announced it was considering launching a digital currency based on blockchain. This culminated in a successful two-month pilot of the e-hryvnia, between December 2018 and February 2019.

In June 2020, the Ministry of Digital Transformation passed a bill called “On Virtual Assets” that regulates the circulation and distribution of virtual assets, as well as officially legalizes the activity. 

In January 2021, the central bank signed a deal with Stellar Development Foundation. The company will promote the development of a CBDC in Ukraine, and officially starts its activities in August 2021. 
",Retail,,DLT,,,"https://www.coindesk.com/ukraine-government-picks-stellar-to-help-build-national-digital-currency
https://thedigital.gov.ua/news/mintsifra-spivpratsyuvatime-zi-stellar-development-foundation-nad-rozvitkom-rinku-virtualnikh-aktiviv
https://cointelegraph.com/news/new-bill-in-ukraine-to-finally-let-crypto-firms-open-bank-accounts
",
37,Jeremy,Uruguay,URY,Pilot,"The Central Bank of Uruguay successfully completed a digital currency pilot program in April 2018 to issue, circulate, and test payments in an e-Peso. Results are being evaluated by the central bank, ahead of additional trials and potential broader issuance. ","Uruguay’s e-Peso pilot was part of a broader government initiative to promote financial inclusion. The pilot ran for 6 months beginning November 2017, issuing 20 million e-Pesos to 10,000 users. Individuals and businesses could hold 30,000 and 200,000 e-Pesos, respectively, in digital wallets. Transfer took place via mobile phones using text messages or an e-Peso app.

The pilot was considered a success and closed in April 2018 to evaluate results and inform additional design decisions. In particular, officials are evaluating how to manage the stock of digital banknotes in different denominations as well as how to manage the level of anonymity. 

6 institutions were involved in the pilot, both from the public and private sectors. These included (1) The Central Bank of Uruguay; (2) Antel (provides telecom network); (3) RGC (provides solutions for money tech support); (4) IBM (data storage and management control of circulation); (5) InSwitch (management of users); and (6) Redpagos (cash-in, cash-out). ",Retail,"(1) The Central Bank of Uruguay; (2) Antel (provide telecom network); (3) RGC (provides solutions for money tech support); (4) IBM (data storage and management control of circulation); (5) InSwitch (management of users); and (6) Redpagos (cash-in, cash-out). Source",Digital wallet (Global e-Note Manager),,"The pilot ran for 6 months beginning November 2017, issuing 20 million e-Pesos to 10,000 users. The Central Bank of Uruguay successfully completed a digital currency pilot program in April 2018 to issue, circulate, and test payments in an e-Peso. ",https://www.bis.org/events/eopix_1810/licandro_pres.pdf,
38,Ole/Amanda,Australia,AUS,Research,"The Reserve Bank of Australia (RBA) is actively exploring the use of a wholesale eAUD. To that end, the RBA conducted a proof of concept to simulate a wholesale settlement system involving commercial banks in the country. The RBA is committed to continue this research throughout 2020 to ascertain the viability of a digital Australian dollar, and has partnered with Commonwealth Bank, National Australia Bank, Perpetual and ConsenSys Software.","In a December 2019 paper, the RBA echoed warnings from other central banks about the need to thoroughly study downside risks of CBDC for financial stability. At this point, the bank argued that a wholesale CBDC holds more promise than a retail version, given ample availability of digital money that households are already using. Thus, the RBA set-up an innovation lab to research a wholesale settlement system based on a “private, permissioned Ethereum network.” During the proof-of-concept the RBA simulated issuing tokens to commercial banks, having those banks exchange the tokens, and ultimately redeeming the tokens. The RBA is considering partnering with external stakeholders to continue studying how a wholesale CBDC might help the bank to better fulfill its mandate. 

RBA announced in November 2020 that they have partnered with Commonwealth Bank, National Australia Bank, Perpetual and ConsenSys Software to “explore the potential use and implications of a wholesale form of central bank digital currency (CBDC) using distributed ledger technology (DLT).” This partnership will involve the creation of a proof-of-concept “for the issuance of a tokenized form of CBDC that can be used by wholesale market participants for the funding, settlement and repayment of a tokenized syndicated loan on an Ethereum-based DLT platform.”

The project should have ended at the end of 2020 and a report on the findings is expected to be published by mid-2021.  
",NA,"Commonwealth Bank, National Australia Bank, Perpetual and ConsenSys Software",DLT,,,https://www.rba.gov.au/publications/submissions/payments-system/financial-and-regulatory-technology/,
39,Eve,Bahrain,BHR,Research,"The Bank of Bahrain is in the early stages of researching a CBDC, along with innovative solutions for digital payment.","In 2018, the Governor of the Central Bank of Bahrain (CBB), Rasheed Mohamed Al Maraj, said that the CBB is in the early stages of studying a ""digital dinar,"" the digital version of its currency, in an interview with the Daily Tribune - News of Bahrain.

In early 2020, the Central Bank of Bahrain announced that it will pilot the CBDC Policy-Maker Toolkit developed by the World Economic Forum as part of the CBB's research on the impact of digital currencies on the economy.",NA,,,,,"https://www.arabianbusiness.com/banking-finance/438417-bahrain-to-pilot-toolkit-for-central-bank-digital-currency
https://www.newsofbahrain.com/bahrain/42742.html",
40,Eve,Chile,CHL,Research,"Blockchain and CBDC are two of the research topics that the Central Bank of Chile has included in its 2018-2022 Strategic Plan, according to Mario Marcel, Governor of the Central Bank of Chile.","In his remarks at an OECD Forum on Block in September 2019, Mario Marcel, Governor of the Central Bank of Chile, described the two initiatives that the central bank are pursuing to address fintech challenges: the Technological Observatory and the TechLab. The use of blockchain in central banking as well as CBDC are among the topics under these initiatives. However, he noted that ""CBDC does not necessarily need blockchain.""

The central bank is also exploring the feasibility of blockchain-based bonds, with a proof-of-concept ongoing.",NA,,,,,https://www.bis.org/review/r190919d.pdf,
41,Victor,Euro area,ECB,Research,"After incoming President Christine Lagarde promised to accelerate research into CBDCs, the ECB set up a task force to explore potential design choices and applications. The group published a working paper in early 2020. In October 2020, the ECB published a report on the possible issuance of a digital euro.","The ECB's working paper suggests a two-tier system for a “general purpose” CBDC. 

The paper states that the use of CBDC for efficient retail payments will be the most likely driver behind initiatives. It rejects the motivation of using CBDC as a store of value, which would involve consumers switching deposits from commercial banks into CBDC. The CBDC would be interest-bearing, with attractive interest rates offered for smaller sums suitable for payments and lower rates would be available for larger amounts. 

In the October 2020 report that examines the issuance of the digital euro, Christine Lagarde, ECB president, noted, ""Looking ahead, we need to be ready to introduce a digital euro, shall the need arise. For now we maintain the options open as to whether and when this should happen.""  
",NA,,,"ECB’s Innovation team leader, Dirk Bullman“We have a dedicated team looking at this in the ECB. Even if we’re not particularly vocal on this compared to other central banks, we’ve been doing a lot in the past.” 
ECB Executive Board Member Yves Mersch “Some argue that a token-based digital currency might not guarantee complete anonymity. If that proved to be the case, it would inevitably raise social, political and legal issues, we are currently looking into the legal questions raised by the potential use of intermediaries to facilitate the circulation of a CBDC and also the processing of transactions in a CBDC.”",,"https://www.ecb.europa.eu/press/key/date/2020/html/ecb.sp200511~01209cb324.en.html
https://www.ecb.europa.eu/pub/pdf/scpwps/ecb.wp2351~c8c18bbd60.en.pdf
https://www.ledgerinsights.com/ecb-central-bank-digital-currency-cbdc-store-tier/
https://www.coindesk.com/cbdc-ecb-yves-mersch-euro
https://www.ecb.europa.eu/press/pr/date/2020/html/ecb.pr201002~f90bfc94a8.en.html",
42,Ole/Amanda,Germany,DEU,Research,The German Bundesbank is taking a conservative approach toward adopting a digital euro. It is currently evaluating a digital currency's potential benefits and downsides as well as risks and opportunities.,"In September 2019, the German government published a “Blockchain strategy” to outline how the technology can help to facilitate the country’s digital transformation. 

At the beginning of 2020, the German crypto law came into effect. It regulates licensing of crypto assets for private entities and is expected to incentivize banks to create services related to crypto assets. Bundesbank President Jens Weidmann stressed during a speech on January 30 that governments must set the regulatory framework before introducing a digital currency. Weidmann had said in earlier statements that at this stage he does not see an added benefit of using a digital currency when compared to the Bundesbank’s current system. By contrast, the German Finance Minister Olaf Scholz has expressed support for introducing European ‘e-euro’ to ensure Europe’s financial marketplace does fall behind China, the United States, and private issuers such as Facebook.

In October 2020, Burkhard Balz, a German politician and executive board member of the country's central bank, said that Germany is looking into alternative digital payment solutions that would prevent the undesirable implications of using CBDCs. To that end, the bank is looking into using blockchain technology and smart contracts in tandem with conventional forms of payment. 
",NA,,,"""Germany sees no need for a digital Euro in the shape of a CBDC” said Bundesbank President Jens Weidmann in 2019.",,https://cointelegraph.com/news/cbdc-as-a-store-of-value-threatens-financial-system-says-german-official,"The German Krypto Law, was also recently passed and is largely based on the EU money laundering directive."
43,Eve,Ghana,GHA,Research,The Bank of Ghana is exploring a CBDC and has authorized Ghana Commercial Bank to create e-money similar to mobile money.,The Bank of Ghana Governor Ernest Addison announced in a keynote address in 2018 that Ghana is researching a CBDC and the possibilities for a pilot project in a sandbox environment.,NA,,,"Ernest Addison, Bank of Ghana's Governor, statement at the annual banking conference:  https://www.bog.gov.gh/wp-content/uploads/2019/11/23rd-Annual-Banking-Conference_Speech_Governor_final.pdf",,https://cointelegraph.com/news/ghana-exploring-digitized-national-currency-says-central-bank-exec,
44,Eve,Iceland,ISL,Research,"While Iceland is a popular destination for cryptocurrency mining activities,  the legality of cryptocurrencies in Iceland is less clear. However, the Central Bank of Iceland is exploring the possibility of issuing a retail CBDC, Rafkróna. ","When a pseudonymous founder released Auroracoin as the ""unofficial national digital currency of Iceland"" in 2014, the Central Bank of Iceland warned that it was not a recognized currency.

The Central Bank of Iceland released an interim research report for issuance of a CBDC, Rafkróna, in 2018, noting that it ""does not recommend that the rafkróna be introduced, and no decisions have been taken on the matter. Discussions with stakeholders lie ahead, as do further analysis and assessments of the pros and cons of issuing a rafkróna.""

In June 2019, the Financial Supervisory Authority of Iceland (FME) approved Monerium's e-money license to issue fiat-backed stablecoins using the ethereum blockchain.",NA,,,,,"https://www.cb.is/library/Skraarsafn---EN/Reports/Special_Publication_12.pdf
https://www.coindesk.com/icelandic-regulators-approve-startups-plan-for-fiat-payments-on-ethereum",
